TR	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
ZIM3	1.674	4.705e-02	15.122	0.494	0.088	3.037e-03
PDX1	2.014	2.201e-02	9.169	0.500	0.088	3.112e-03
SATB1	1.103	1.350e-01	25.587	0.530	0.089	3.188e-03
ZFP28	2.279	1.134e-02	6.222	0.513	0.090	3.266e-03
ZNF317	1.829	3.368e-02	11.924	0.485	0.094	3.760e-03
PAX3	1.606	5.419e-02	10.008	0.513	0.094	3.760e-03
SFPQ	1.629	5.170e-02	8.411	0.517	0.094	3.760e-03
HAND2	1.642	5.029e-02	7.053	0.519	0.096	3.934e-03
POU5F1	5.264	7.050e-08	3.893	0.524	0.096	4.024e-03
SPIB	1.834	3.335e-02	5.069	0.537	0.096	4.024e-03
ZNF75D	1.765	3.877e-02	14.221	0.481	0.098	4.253e-03
ZNF274	1.286	9.922e-02	6.684	0.583	0.098	4.253e-03
PR	3.221	6.389e-04	5.065	0.502	0.099	4.347e-03
ARID1A	1.112	1.330e-01	7.920	0.590	0.099	4.347e-03
SUMO2	2.556	5.296e-03	6.691	0.487	0.100	4.443e-03
MYOG	1.920	2.741e-02	9.518	0.487	0.100	4.443e-03
HOTAIR	2.295	1.087e-02	22.730	0.467	0.101	4.589e-03
ZNF382	1.890	2.938e-02	8.695	0.487	0.104	5.098e-03
NEUROD1	2.469	6.768e-03	5.737	0.492	0.105	5.151e-03
TP73	2.335	9.775e-03	7.044	0.485	0.105	5.258e-03
BMI1	2.366	8.987e-03	4.544	0.516	0.106	5.312e-03
PRDM1	1.493	6.778e-02	6.077	0.524	0.106	5.367e-03
SMC3	5.188	1.062e-07	5.953	0.479	0.107	5.532e-03
YAP1	2.937	1.658e-03	2.977	0.545	0.108	5.701e-03
AHR	1.950	2.559e-02	6.359	0.492	0.109	5.873e-03
NME2	1.751	3.994e-02	19.278	0.469	0.109	5.873e-03
ZNF823	1.423	7.731e-02	14.233	0.484	0.110	6.048e-03
LHX2	1.495	6.746e-02	4.686	0.557	0.112	6.349e-03
ERF	1.870	3.071e-02	5.764	0.495	0.113	6.534e-03
FOXH1	1.799	3.599e-02	5.364	0.502	0.114	6.659e-03
TEAD4	2.793	2.607e-03	4.311	0.498	0.114	6.722e-03
ZNF430	1.697	4.482e-02	4.103	0.543	0.115	6.914e-03
ZNF287	1.612	5.352e-02	5.475	0.513	0.115	6.914e-03
SMAD2	2.547	5.435e-03	5.169	0.486	0.116	6.979e-03
YBX1	2.458	6.995e-03	4.184	0.511	0.116	6.979e-03
HNF1A	1.612	5.343e-02	5.573	0.513	0.116	7.044e-03
ZNF573	1.471	7.067e-02	9.091	0.491	0.118	7.309e-03
H3F3B	1.631	5.147e-02	5.017	0.517	0.118	7.376e-03
SMC1A	3.773	8.074e-05	5.032	0.479	0.119	7.650e-03
ZNF248	1.496	6.733e-02	7.057	0.494	0.121	7.929e-03
SMAD3	2.630	4.273e-03	2.745	0.529	0.121	8.000e-03
RING1	1.441	7.486e-02	8.034	0.491	0.122	8.072e-03
ZNF26	1.446	7.415e-02	8.545	0.487	0.122	8.072e-03
HIF1A	1.394	8.170e-02	4.846	0.527	0.123	8.362e-03
HDAC3	1.610	5.368e-02	6.983	0.489	0.123	8.362e-03
H2AFX	1.031	1.513e-01	5.079	0.605	0.124	8.584e-03
STAG1	3.960	3.741e-05	2.971	0.511	0.124	8.659e-03
CBX3	1.422	7.746e-02	4.715	0.521	0.127	9.273e-03
SMAD1	1.420	7.784e-02	4.450	0.526	0.128	9.352e-03
POU2F1	1.647	4.975e-02	4.094	0.520	0.128	9.352e-03
ZNF169	1.425	7.706e-02	8.472	0.484	0.128	9.352e-03
HNF4G	1.345	8.928e-02	5.528	0.513	0.128	9.511e-03
TOP1	2.446	7.220e-03	7.943	0.462	0.130	9.834e-03
ZNF485	1.300	9.688e-02	20.957	0.471	0.131	1.016e-02
EBNA3C	2.496	6.272e-03	3.352	0.498	0.133	1.067e-02
HES2	6.145	3.996e-10	2.890	0.491	0.134	1.094e-02
ZNF17	1.353	8.796e-02	10.261	0.476	0.134	1.094e-02
GRIP1	1.906	2.831e-02	3.876	0.501	0.136	1.120e-02
ZNF605	1.400	8.083e-02	8.215	0.482	0.136	1.129e-02
SIX1	1.647	4.978e-02	4.720	0.494	0.137	1.156e-02
EZH2	2.467	6.819e-03	1.838	0.545	0.138	1.174e-02
HNF1B	1.506	6.609e-02	4.987	0.495	0.139	1.212e-02
TEAD1-TEAD4	1.638	5.074e-02	3.463	0.518	0.139	1.221e-02
MEF2B	3.372	3.733e-04	3.853	0.480	0.140	1.230e-02
ZNF675	1.380	8.380e-02	7.698	0.479	0.141	1.250e-02
TP63	3.926	4.311e-05	4.696	0.465	0.142	1.279e-02
PARP1	1.272	1.017e-01	13.763	0.469	0.142	1.279e-02
ZNF490	1.237	1.081e-01	25.044	0.466	0.142	1.288e-02
MEIS1	2.157	1.551e-02	4.252	0.482	0.143	1.308e-02
CTNNB1	1.529	6.318e-02	4.279	0.499	0.144	1.348e-02
SETDB1	1.054	1.459e-01	3.428	0.694	0.146	1.409e-02
PRDM12	1.416	7.845e-02	5.691	0.483	0.147	1.430e-02
ZNF654	1.775	3.792e-02	5.699	0.468	0.147	1.441e-02
MAFK	1.760	3.920e-02	5.378	0.469	0.148	1.462e-02
SUMO1	2.830	2.328e-03	4.439	0.466	0.148	1.473e-02
BRDU	1.343	8.957e-02	2.662	0.580	0.149	1.483e-02
POLR3D	2.227	1.296e-02	4.225	0.474	0.152	1.571e-02
ZNF697	0.909	1.816e-01	11.085	0.478	0.152	1.571e-02
TP53	2.727	3.193e-03	2.313	0.495	0.152	1.582e-02
ZNF133	1.273	1.014e-01	9.652	0.469	0.153	1.616e-02
ZNF207	1.929	2.686e-02	2.623	0.502	0.155	1.662e-02
BANF1	1.822	3.421e-02	3.969	0.482	0.155	1.662e-02
ZNF765	1.333	9.119e-02	6.437	0.474	0.156	1.721e-02
JUN	2.131	1.656e-02	1.753	0.521	0.157	1.733e-02
ZNF440	1.269	1.023e-01	9.273	0.468	0.157	1.757e-02
PPARG	2.205	1.371e-02	3.241	0.482	0.159	1.805e-02
GRHL2	2.463	6.898e-03	4.514	0.461	0.159	1.817e-02
ZNF781	1.397	8.117e-02	7.491	0.464	0.160	1.855e-02
ZNF800	1.533	6.263e-02	6.400	0.463	0.161	1.867e-02
CEBPG	1.503	6.643e-02	5.838	0.466	0.162	1.930e-02
SMAD2-SMAD3	1.639	5.064e-02	2.766	0.500	0.163	1.956e-02
FOXO1	1.534	6.246e-02	3.191	0.496	0.164	1.982e-02
JUND	1.955	2.532e-02	3.271	0.479	0.165	2.021e-02
ILK	1.642	5.030e-02	4.830	0.468	0.165	2.021e-02
BIRA	1.328	9.203e-02	3.000	0.513	0.168	2.129e-02
FOS	1.913	2.785e-02	2.698	0.484	0.169	2.156e-02
MITF	1.317	9.385e-02	4.325	0.483	0.171	2.254e-02
FOSL2	5.933	1.488e-09	2.052	0.473	0.174	2.370e-02
SMARCC1	1.355	8.768e-02	1.894	0.533	0.175	2.414e-02
NKX2-1	1.324	9.272e-02	6.542	0.459	0.177	2.490e-02
ZNF793	1.253	1.051e-01	10.128	0.452	0.178	2.520e-02
CDK2	1.112	1.330e-01	10.879	0.453	0.178	2.520e-02
SOX10	1.309	9.533e-02	4.573	0.472	0.182	2.708e-02
ZNF331	1.090	1.379e-01	8.330	0.456	0.185	2.839e-02
LMTK3	1.621	5.251e-02	3.828	0.468	0.186	2.889e-02
MAFF	1.113	1.329e-01	7.481	0.456	0.186	2.889e-02
SIX4	1.374	8.468e-02	3.577	0.478	0.186	2.905e-02
PGR	1.308	9.540e-02	4.296	0.472	0.187	2.939e-02
ZNF140	1.527	6.343e-02	5.449	0.451	0.188	2.973e-02
IRF5	0.919	1.790e-01	12.092	0.448	0.189	3.060e-02
IRF4	1.746	4.043e-02	2.261	0.479	0.190	3.077e-02
ZNF549	0.948	1.716e-01	10.666	0.449	0.191	3.147e-02
ZBTB2	1.318	9.381e-02	6.617	0.449	0.192	3.183e-02
ZNF22	0.841	2.001e-01	14.396	0.444	0.197	3.440e-02
CHD8	1.203	1.144e-01	3.628	0.477	0.198	3.497e-02
NFE2L1	1.658	4.863e-02	4.096	0.452	0.198	3.516e-02
HLF	1.085	1.390e-01	10.112	0.442	0.199	3.535e-02
USP49	1.334	9.105e-02	3.150	0.474	0.199	3.554e-02
PRMT1	1.333	9.121e-02	3.329	0.473	0.199	3.554e-02
ZNF585A	1.071	1.421e-01	6.028	0.455	0.200	3.593e-02
SRCAP	0.887	1.874e-01	10.089	0.446	0.201	3.651e-02
ZNF84	1.057	1.454e-01	6.125	0.454	0.201	3.671e-02
ZNF707	0.983	1.629e-01	2.965	0.490	0.203	3.770e-02
SSU72	1.270	1.020e-01	3.672	0.469	0.205	3.851e-02
CBX5	0.857	1.956e-01	2.460	0.512	0.205	3.871e-02
ZNF182	1.042	1.487e-01	5.910	0.454	0.205	3.892e-02
PCGF2	1.445	7.429e-02	3.910	0.454	0.208	4.079e-02
EED	1.102	1.352e-01	3.343	0.475	0.209	4.100e-02
ZNF48	1.285	9.944e-02	3.093	0.470	0.209	4.121e-02
HOXA9	0.748	2.273e-01	4.394	0.475	0.211	4.206e-02
DAXX	1.412	7.897e-02	4.114	0.453	0.211	4.228e-02
TSC22D4	1.160	1.230e-01	3.375	0.470	0.211	4.228e-02
ZNF618	1.294	9.778e-02	2.919	0.471	0.211	4.250e-02
RNF2	0.629	2.645e-01	1.723	0.568	0.212	4.315e-02
FLI1	0.778	2.182e-01	1.581	0.531	0.214	4.426e-02
PITX3	1.035	1.503e-01	5.267	0.453	0.214	4.426e-02
ZNF304	1.031	1.513e-01	5.128	0.453	0.217	4.606e-02
DLX2	1.185	1.181e-01	3.841	0.463	0.217	4.606e-02
ZNF780A	0.877	1.901e-01	6.521	0.446	0.219	4.721e-02
PRDM6	1.122	1.310e-01	4.013	0.459	0.219	4.721e-02
ERCC2	0.900	1.842e-01	5.660	0.447	0.223	4.958e-02
PBX3	0.786	2.159e-01	2.169	0.496	0.225	5.153e-02
CHD7	1.303	9.631e-02	1.673	0.480	0.226	5.202e-02
ASCL1	1.186	1.179e-01	2.821	0.465	0.228	5.302e-02
FANCD2	0.689	2.453e-01	11.042	0.436	0.229	5.378e-02
NONO	1.347	8.906e-02	2.741	0.456	0.230	5.506e-02
PGBD3	1.199	1.153e-01	2.718	0.463	0.232	5.635e-02
ZNF429	0.755	2.252e-01	7.483	0.440	0.232	5.635e-02
ZNF425	0.730	2.328e-01	7.924	0.439	0.236	5.901e-02
TCF7	0.373	3.545e-01	2.867	0.506	0.236	5.928e-02
ZNF93	0.837	2.012e-01	5.337	0.444	0.237	5.982e-02
BATF	1.451	7.340e-02	2.214	0.455	0.237	6.010e-02
ZNF101	0.550	2.912e-01	3.904	0.471	0.239	6.120e-02
JARID2	1.426	7.700e-02	1.511	0.466	0.239	6.175e-02
ZNF506	0.775	2.191e-01	5.756	0.441	0.239	6.175e-02
ZNF512	0.851	1.973e-01	6.261	0.437	0.240	6.203e-02
FEZF1	1.159	1.231e-01	4.188	0.441	0.242	6.372e-02
DACOR1	0.617	2.686e-01	11.412	0.432	0.243	6.429e-02
WWTR1	1.359	8.710e-02	2.293	0.453	0.243	6.486e-02
LMNB1	0.764	2.223e-01	5.630	0.440	0.244	6.573e-02
CHD5	0.779	2.179e-01	5.216	0.441	0.245	6.602e-02
ZNF138	1.096	1.365e-01	2.579	0.457	0.247	6.808e-02
LYL1	1.252	1.054e-01	1.989	0.461	0.248	6.867e-02
NR5A2	0.732	2.320e-01	3.319	0.463	0.248	6.867e-02
ELF3	1.059	1.448e-01	3.974	0.441	0.249	6.927e-02
ZFP64	0.521	3.011e-01	2.630	0.482	0.251	7.109e-02
STAT3	1.232	1.090e-01	1.554	0.467	0.251	7.139e-02
ZNF354C	1.040	1.493e-01	2.765	0.453	0.252	7.201e-02
ZNF8	0.883	1.886e-01	2.436	0.463	0.252	7.232e-02
HIRA	1.111	1.333e-01	2.188	0.458	0.253	7.325e-02
PRDM14	0.847	1.986e-01	4.036	0.444	0.254	7.387e-02
GREB1	1.229	1.096e-01	2.680	0.447	0.255	7.450e-02
ZFAT	0.967	1.667e-01	2.972	0.450	0.255	7.482e-02
SUZ12	0.705	2.403e-01	0.932	0.498	0.256	7.545e-02
RUNX2	0.547	2.924e-01	5.308	0.444	0.257	7.609e-02
ZNF671	0.739	2.300e-01	4.420	0.439	0.264	8.266e-02
PROX1	1.186	1.179e-01	1.819	0.454	0.265	8.334e-02
ZNF488	0.955	1.699e-01	3.076	0.442	0.266	8.436e-02
SRC	0.607	2.718e-01	2.874	0.458	0.269	8.713e-02
FOSL1	0.886	1.878e-01	1.338	0.467	0.270	8.819e-02
HHEX	0.878	1.901e-01	4.207	0.434	0.270	8.819e-02
ZNF778	0.735	2.313e-01	4.728	0.434	0.270	8.890e-02
MAF	0.395	3.465e-01	1.071	0.509	0.272	9.104e-02
DDX5	0.185	4.265e-01	3.866	0.467	0.273	9.176e-02
GFI1B	0.737	2.307e-01	3.540	0.441	0.274	9.249e-02
HMG20A	1.015	1.551e-01	1.872	0.452	0.275	9.395e-02
SPI1	0.921	1.786e-01	1.164	0.464	0.276	9.432e-02
ETV6	0.856	1.961e-01	1.569	0.461	0.276	9.469e-02
ZNF217	0.737	2.304e-01	3.742	0.439	0.276	9.506e-02
ZSCAN2	0.859	1.952e-01	2.560	0.445	0.276	9.506e-02
TCF7L2	0.632	2.636e-01	1.474	0.474	0.277	9.543e-02
ZSCAN16	0.425	3.352e-01	3.288	0.456	0.278	9.655e-02
ZNF292	0.855	1.962e-01	2.406	0.445	0.281	9.996e-02
NEUROG2	1.261	1.036e-01	2.221	0.437	0.282	1.011e-01
TTF2	0.201	4.205e-01	0.614	0.522	0.282	1.011e-01
ATF2	0.794	2.137e-01	1.834	0.454	0.283	1.019e-01
MCM2	0.514	3.038e-01	6.971	0.427	0.284	1.027e-01
AGO1	0.996	1.595e-01	1.779	0.446	0.284	1.035e-01
SF1	0.764	2.224e-01	2.882	0.440	0.285	1.042e-01
ZNF585B	0.804	2.106e-01	3.621	0.433	0.286	1.050e-01
NIPBL	0.622	2.669e-01	0.409	0.484	0.288	1.078e-01
BCL11A	0.161	4.360e-01	0.606	0.519	0.289	1.086e-01
ZNF280A	0.527	2.991e-01	5.644	0.427	0.291	1.111e-01
ERCC3	0.664	2.535e-01	3.648	0.435	0.292	1.119e-01
ZNF788	0.661	2.545e-01	4.344	0.429	0.294	1.140e-01
DPPA2	0.445	3.280e-01	7.187	0.423	0.294	1.140e-01
ZNF44	0.664	2.532e-01	3.333	0.435	0.296	1.170e-01
STAT4	0.432	3.330e-01	2.500	0.451	0.301	1.226e-01
KDM3B	0.848	1.981e-01	2.067	0.438	0.302	1.235e-01
MAFG	0.606	2.722e-01	4.777	0.423	0.304	1.266e-01
ZFP41	0.870	1.922e-01	1.565	0.441	0.306	1.284e-01
ARID3A	0.574	2.831e-01	3.369	0.433	0.306	1.288e-01
CBX2	0.601	2.741e-01	3.435	0.431	0.307	1.297e-01
ZBTB48	0.545	2.929e-01	0.941	0.464	0.307	1.302e-01
TCF21	1.087	1.385e-01	1.765	0.433	0.307	1.302e-01
TTF1	0.679	2.486e-01	4.069	0.426	0.307	1.307e-01
NFE2L2	0.801	2.115e-01	0.598	0.455	0.308	1.311e-01
NCAPG2	0.591	2.774e-01	3.521	0.430	0.310	1.334e-01
LARP7	0.092	4.633e-01	1.313	0.482	0.311	1.348e-01
ZNF750	0.481	3.151e-01	4.771	0.425	0.311	1.353e-01
SCRT1	0.418	3.380e-01	4.154	0.431	0.311	1.358e-01
ZNF766	0.124	4.506e-01	2.275	0.462	0.312	1.372e-01
ZNF563	0.544	2.934e-01	3.984	0.428	0.312	1.372e-01
ZNF320	0.633	2.634e-01	3.935	0.425	0.314	1.396e-01
LIN9	0.705	2.403e-01	1.947	0.437	0.315	1.400e-01
MKL2	0.977	1.642e-01	1.015	0.439	0.316	1.420e-01
SMAD4	0.007	4.972e-01	0.585	0.497	0.321	1.484e-01
ARRB1	0.666	2.527e-01	3.048	0.426	0.323	1.519e-01
TAL1	0.299	3.825e-01	1.973	0.450	0.324	1.524e-01
ZNF384	0.211	4.163e-01	2.576	0.441	0.328	1.591e-01
NR1H3	0.737	2.306e-01	2.130	0.429	0.329	1.596e-01
ZNF768	0.665	2.529e-01	1.606	0.435	0.329	1.607e-01
ZNF16	0.801	2.116e-01	1.554	0.432	0.330	1.612e-01
ZNF786	0.688	2.456e-01	1.393	0.436	0.331	1.638e-01
ZNF260	0.694	2.437e-01	1.280	0.437	0.332	1.649e-01
BATF3	0.650	2.578e-01	1.670	0.434	0.332	1.649e-01
CHRM2	0.095	4.620e-01	0.065	0.485	0.336	1.709e-01
ZNF202	0.379	3.523e-01	0.806	0.455	0.336	1.709e-01
FOXP1	0.348	3.641e-01	0.647	0.459	0.336	1.714e-01
KMT2B	0.594	2.761e-01	1.984	0.431	0.337	1.725e-01
CRY1	0.503	3.074e-01	2.854	0.426	0.338	1.736e-01
ESCO2	0.541	2.944e-01	2.520	0.428	0.339	1.753e-01
ERCC6	0.016	4.937e-01	-0.451	0.507	0.339	1.758e-01
NR2F2	0.195	4.228e-01	1.495	0.450	0.341	1.781e-01
TAT	0.654	2.567e-01	1.195	0.434	0.342	1.803e-01
DRAP1	0.597	2.751e-01	1.681	0.431	0.342	1.803e-01
TRIM22	0.740	2.297e-01	1.438	0.429	0.343	1.821e-01
BANP	0.437	3.310e-01	2.034	0.432	0.344	1.838e-01
ZNF682	0.682	2.476e-01	0.835	0.434	0.349	1.907e-01
CEBPA	-0.234	5.926e-01	0.213	0.508	0.350	1.937e-01
FXR2	0.495	3.103e-01	2.252	0.426	0.352	1.961e-01
CUX1	-0.019	5.078e-01	0.861	0.464	0.354	1.997e-01
ZNF141	0.428	3.342e-01	2.807	0.422	0.354	2.003e-01
STAT5	0.401	3.443e-01	-0.397	0.461	0.356	2.021e-01
XBP1	0.249	4.017e-01	-0.583	0.469	0.356	2.033e-01
SND1	0.420	3.371e-01	0.770	0.440	0.356	2.033e-01
FAIRE	0.211	4.165e-01	-0.717	0.471	0.359	2.076e-01
NFIC	0.066	4.737e-01	1.545	0.444	0.359	2.076e-01
OSR2	0.473	3.181e-01	2.551	0.421	0.359	2.082e-01
ZXDC	0.441	3.296e-01	2.299	0.422	0.359	2.088e-01
ICE2	0.549	2.914e-01	1.348	0.428	0.360	2.094e-01
PTRF	0.428	3.344e-01	2.410	0.422	0.362	2.125e-01
EBNA3	0.548	2.919e-01	1.258	0.428	0.364	2.163e-01
EHF	0.481	3.151e-01	0.290	0.440	0.364	2.169e-01
SNAI2	-0.219	5.867e-01	1.647	0.461	0.365	2.175e-01
BCAT1	0.558	2.884e-01	1.901	0.421	0.365	2.188e-01
MEF2A	0.173	4.315e-01	0.469	0.449	0.366	2.194e-01
SOX4	0.523	3.005e-01	1.490	0.426	0.366	2.201e-01
TET2	-0.631	7.361e-01	0.360	0.526	0.367	2.213e-01
KDM1A	-0.356	6.391e-01	0.531	0.486	0.368	2.232e-01
RXRA	0.370	3.557e-01	0.298	0.442	0.368	2.245e-01
ZNF547	0.594	2.762e-01	0.448	0.432	0.369	2.252e-01
ATF3	0.028	4.887e-01	-0.030	0.465	0.371	2.297e-01
CBFA2T2	0.461	3.224e-01	1.593	0.424	0.371	2.297e-01
SMARCE1	-0.216	5.854e-01	2.176	0.446	0.372	2.316e-01
ZNF92	0.151	4.400e-01	4.682	0.406	0.373	2.336e-01
EBNA2	0.496	3.099e-01	1.175	0.426	0.375	2.369e-01
ASH2L	0.439	3.305e-01	2.244	0.415	0.377	2.395e-01
MYOD1	0.400	3.445e-01	2.242	0.418	0.377	2.402e-01
ZNF35	0.360	3.595e-01	2.298	0.418	0.377	2.402e-01
NR1H2	0.623	2.667e-01	1.233	0.421	0.378	2.415e-01
TBX21	0.481	3.154e-01	0.761	0.428	0.379	2.442e-01
ZNF362	0.331	3.703e-01	2.965	0.411	0.380	2.448e-01
ZNF664	0.338	3.675e-01	2.726	0.411	0.382	2.488e-01
TCF12	-0.092	5.365e-01	0.327	0.459	0.382	2.495e-01
TSHZ1	0.412	3.403e-01	0.763	0.429	0.382	2.495e-01
ZNF558	0.366	3.572e-01	1.270	0.426	0.384	2.529e-01
POU3F2	0.723	2.350e-01	-0.161	0.428	0.385	2.556e-01
CREBBP	-0.148	5.586e-01	-0.434	0.473	0.386	2.577e-01
PTTG1	0.304	3.806e-01	2.172	0.417	0.386	2.577e-01
JUNB	0.059	4.765e-01	0.161	0.447	0.388	2.597e-01
HNF4A	-0.045	5.179e-01	1.600	0.434	0.391	2.666e-01
HOXA2	0.587	2.787e-01	-0.258	0.430	0.391	2.666e-01
TCF7L1	-0.338	6.324e-01	0.061	0.476	0.392	2.680e-01
NFIL3	0.222	4.122e-01	2.644	0.410	0.394	2.722e-01
ZNF100	0.509	3.054e-01	-0.199	0.430	0.395	2.743e-01
PRKDC	0.385	3.503e-01	0.938	0.422	0.397	2.778e-01
KDM6B	0.202	4.198e-01	0.071	0.436	0.399	2.821e-01
AFF1	-0.357	6.394e-01	-1.558	0.510	0.400	2.842e-01
IKZF1	-0.778	7.818e-01	-0.329	0.518	0.400	2.849e-01
TLX1	0.392	3.474e-01	1.105	0.420	0.401	2.856e-01
GTF2I	-0.203	5.802e-01	0.811	0.446	0.402	2.870e-01
ZNF611	0.350	3.631e-01	1.276	0.417	0.403	2.899e-01
ZFP57	0.093	4.630e-01	2.614	0.411	0.404	2.928e-01
SCRT2	0.095	4.620e-01	3.512	0.402	0.405	2.942e-01
BTAF1	0.319	3.749e-01	1.464	0.416	0.405	2.942e-01
SP140	0.180	4.284e-01	1.081	0.423	0.406	2.957e-01
ZNF264	0.399	3.450e-01	-1.067	0.437	0.408	3.000e-01
ING5	0.207	4.181e-01	1.906	0.409	0.411	3.051e-01
ETV4	-0.160	5.635e-01	-0.971	0.464	0.412	3.088e-01
FUS	0.364	3.581e-01	0.574	0.421	0.412	3.088e-01
DEK	0.336	3.683e-01	0.635	0.420	0.414	3.125e-01
NR2F1	-0.037	5.149e-01	1.336	0.427	0.414	3.125e-01
UBE2I	0.401	3.440e-01	0.363	0.420	0.414	3.125e-01
BCL6	-0.575	7.173e-01	-0.796	0.487	0.417	3.176e-01
ZNF479	0.118	4.529e-01	2.430	0.404	0.418	3.206e-01
LDB1	0.089	4.644e-01	2.696	0.403	0.419	3.221e-01
ZNF641	0.455	3.245e-01	-0.476	0.424	0.419	3.228e-01
FOXM1	-0.334	6.306e-01	-3.298	0.511	0.420	3.251e-01
MCM7	0.123	4.512e-01	0.292	0.427	0.421	3.266e-01
REPIN1	0.037	4.853e-01	1.161	0.422	0.422	3.281e-01
SPDEF	0.319	3.747e-01	-1.031	0.432	0.422	3.296e-01
LMO2	-0.266	6.048e-01	0.149	0.447	0.423	3.311e-01
DNMT3A	0.240	4.050e-01	-0.626	0.430	0.425	3.348e-01
GPS2	0.428	3.345e-01	-0.276	0.422	0.425	3.356e-01
SRF	-0.235	5.929e-01	-0.851	0.457	0.426	3.379e-01
MRE11A	0.303	3.808e-01	0.437	0.416	0.426	3.379e-01
ZNF175	-0.055	5.219e-01	0.464	0.430	0.427	3.386e-01
DMC1	-0.097	5.387e-01	4.717	0.392	0.429	3.439e-01
HCFC1R1	0.129	4.487e-01	1.706	0.405	0.430	3.462e-01
DNMT1	-0.243	5.959e-01	-1.291	0.461	0.433	3.523e-01
ETV5	0.032	4.871e-01	0.068	0.428	0.433	3.523e-01
