TR	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
CDC5L	1.399	8.094e-02	2.590	0.593	0.188	3.008e-02
E2F6	2.083	1.863e-02	1.062	0.605	0.189	3.042e-02
ETS2	1.301	9.663e-02	1.704	0.605	0.191	3.112e-02
SSRP1	1.059	1.449e-01	2.129	0.608	0.192	3.183e-02
USF2	1.886	2.962e-02	1.651	0.596	0.194	3.310e-02
KAT7	1.629	5.161e-02	0.630	0.628	0.195	3.347e-02
CSDE1	1.623	5.231e-02	2.321	0.591	0.196	3.365e-02
ZNF121	1.218	1.117e-01	2.828	0.593	0.196	3.384e-02
ZNF687	1.548	6.083e-02	1.714	0.598	0.197	3.459e-02
UBTF	1.993	2.311e-02	0.764	0.610	0.200	3.612e-02
SON	1.144	1.262e-01	2.186	0.600	0.201	3.671e-02
FOXK1	1.550	6.061e-02	2.144	0.592	0.203	3.750e-02
NBN	1.709	4.369e-02	1.474	0.598	0.203	3.770e-02
PHF8	5.332	4.859e-08	-0.253	0.640	0.203	3.790e-02
GTF2I	0.934	1.751e-01	1.656	0.615	0.205	3.851e-02
ZBTB11	2.768	2.817e-03	0.612	0.607	0.205	3.871e-02
ZNF592	1.419	7.798e-02	1.900	0.596	0.206	3.933e-02
FOXK2	1.785	3.712e-02	2.396	0.582	0.206	3.953e-02
KDM2B	2.890	1.929e-03	0.282	0.615	0.207	3.974e-02
SETDB1	0.988	1.616e-01	3.308	0.596	0.207	3.995e-02
EMSY	1.646	4.984e-02	0.420	0.629	0.207	3.995e-02
TET2	0.782	2.170e-01	1.475	0.626	0.209	4.100e-02
SAP30	2.841	2.250e-03	-0.187	0.636	0.212	4.293e-02
SREBF1	1.690	4.553e-02	0.999	0.603	0.212	4.293e-02
YY1	5.141	1.364e-07	-0.335	0.640	0.212	4.315e-02
HLTF	1.199	1.152e-01	2.610	0.589	0.214	4.403e-02
MCM3	1.273	1.015e-01	2.503	0.589	0.215	4.448e-02
TBP	1.975	2.413e-02	-0.018	0.635	0.215	4.470e-02
KLF4	0.914	1.803e-01	2.121	0.604	0.216	4.515e-02
CNOT3	1.332	9.147e-02	1.695	0.597	0.217	4.583e-02
MAX	1.884	2.980e-02	0.084	0.630	0.218	4.652e-02
GTF2E2	1.285	9.944e-02	1.129	0.607	0.218	4.652e-02
NFAT5	1.425	7.706e-02	0.778	0.614	0.220	4.768e-02
NCAPH2	1.723	4.244e-02	0.789	0.604	0.221	4.839e-02
INTS11	1.886	2.962e-02	0.996	0.598	0.221	4.886e-02
KMT2A	2.133	1.644e-02	0.875	0.598	0.222	4.934e-02
MORC2	1.505	6.621e-02	0.590	0.617	0.223	4.958e-02
RFX1	0.822	2.056e-01	1.653	0.613	0.223	4.982e-02
RAD51	1.138	1.276e-01	2.723	0.587	0.226	5.202e-02
HINFP	1.335	9.092e-02	2.532	0.583	0.226	5.202e-02
GTF2B	4.216	1.241e-05	-0.361	0.632	0.226	5.202e-02
HMGN3	1.143	1.265e-01	1.533	0.600	0.226	5.227e-02
HDAC8	1.477	6.988e-02	1.614	0.592	0.227	5.252e-02
HDAC2	1.922	2.729e-02	0.898	0.597	0.228	5.302e-02
FOXD2	1.281	1.000e-01	1.003	0.607	0.228	5.352e-02
GTF3C2	1.097	1.363e-01	2.306	0.592	0.229	5.429e-02
RAC3	1.057	1.453e-01	2.031	0.596	0.230	5.454e-02
SP2	2.468	6.786e-03	0.465	0.604	0.230	5.480e-02
MYCN	2.532	5.671e-03	-0.331	0.636	0.231	5.531e-02
TAF7	1.782	3.738e-02	0.647	0.603	0.233	5.688e-02
EGR2	1.482	6.918e-02	1.057	0.599	0.235	5.821e-02
CREB3	1.160	1.231e-01	2.505	0.585	0.236	5.928e-02
ZNF281	1.225	1.103e-01	1.030	0.604	0.238	6.065e-02
KLF5	1.520	6.422e-02	1.000	0.598	0.241	6.287e-02
GMEB1	1.612	5.347e-02	0.052	0.625	0.241	6.315e-02
ELL2	3.273	5.329e-04	-0.459	0.632	0.242	6.372e-02
GATA1	0.390	3.484e-01	2.260	0.613	0.245	6.602e-02
KLF3	1.055	1.457e-01	1.632	0.596	0.248	6.837e-02
GMEB2	2.366	8.982e-03	-0.505	0.642	0.248	6.897e-02
CCNT2	0.987	1.617e-01	2.010	0.593	0.250	7.017e-02
MBTD1	1.074	1.413e-01	1.471	0.597	0.250	7.048e-02
GLI2	1.638	5.076e-02	-0.167	0.630	0.251	7.109e-02
NELFA	4.937	3.959e-07	-0.713	0.662	0.251	7.109e-02
ZNF76	1.549	6.069e-02	0.302	0.613	0.251	7.109e-02
RARG	1.378	8.417e-02	1.416	0.590	0.253	7.294e-02
ZNF75A	1.412	7.896e-02	0.363	0.613	0.254	7.387e-02
COPS2	1.003	1.579e-01	1.671	0.593	0.258	7.770e-02
NELFE	5.048	2.235e-07	-0.800	0.637	0.260	7.900e-02
GABP	1.255	1.048e-01	1.034	0.597	0.260	7.933e-02
ID3	1.071	1.422e-01	2.213	0.584	0.260	7.933e-02
MED1	3.566	1.809e-04	-0.817	0.651	0.261	7.999e-02
STAT5B	1.572	5.796e-02	0.424	0.603	0.263	8.165e-02
GTF2A2	0.845	1.990e-01	2.487	0.586	0.264	8.300e-02
ARID2	1.569	5.835e-02	0.015	0.614	0.265	8.368e-02
TAF3	1.496	6.733e-02	0.004	0.617	0.265	8.402e-02
CHD1	4.145	1.700e-05	-0.703	0.630	0.266	8.505e-02
ZKSCAN8	1.056	1.455e-01	1.660	0.589	0.266	8.505e-02
NFRKB	1.273	1.015e-01	1.364	0.588	0.267	8.540e-02
BANP	0.702	2.412e-01	2.790	0.586	0.267	8.574e-02
LARP7	0.700	2.419e-01	2.335	0.591	0.267	8.609e-02
ZNF202	0.699	2.424e-01	1.297	0.606	0.267	8.609e-02
AFF1	1.213	1.126e-01	0.485	0.609	0.267	8.609e-02
NCOA1	1.042	1.487e-01	1.889	0.585	0.269	8.748e-02
SIN3A	3.113	9.272e-04	-0.834	0.640	0.270	8.819e-02
RARA	0.677	2.492e-01	1.042	0.610	0.274	9.249e-02
FEV	1.211	1.129e-01	0.561	0.603	0.274	9.285e-02
CBX1	0.936	1.745e-01	1.070	0.600	0.275	9.359e-02
TET3	1.061	1.444e-01	0.861	0.600	0.275	9.359e-02
ARNT	0.528	2.987e-01	3.910	0.585	0.276	9.432e-02
NCOR1	1.348	8.878e-02	-0.040	0.618	0.277	9.581e-02
ELK4	2.856	2.145e-03	-0.687	0.629	0.278	9.655e-02
RBBP5	2.426	7.632e-03	-0.518	0.620	0.280	9.882e-02
TAL1	0.079	4.686e-01	1.855	0.619	0.281	9.996e-02
ZNF8	0.785	2.161e-01	2.193	0.585	0.282	1.011e-01
ZBTB40	1.462	7.181e-02	1.286	0.580	0.283	1.023e-01
SIX5	2.297	1.080e-02	-0.427	0.614	0.284	1.031e-01
CPSF3L	2.204	1.376e-02	-0.620	0.628	0.284	1.035e-01
PATZ1	1.457	7.255e-02	-0.127	0.616	0.284	1.035e-01
LRWD1	0.653	2.570e-01	4.099	0.577	0.285	1.038e-01
KDM1A	0.303	3.810e-01	1.499	0.613	0.285	1.042e-01
CDK9	3.634	1.393e-04	-0.835	0.627	0.285	1.046e-01
SP4	1.165	1.220e-01	0.274	0.609	0.286	1.050e-01
MTA3	0.882	1.889e-01	1.153	0.596	0.286	1.054e-01
TAZ	0.871	1.918e-01	1.721	0.587	0.287	1.062e-01
ZNF318	1.077	1.406e-01	1.957	0.577	0.287	1.066e-01
CD59	0.834	2.021e-01	1.875	0.585	0.290	1.099e-01
CASP8AP2	1.125	1.303e-01	0.635	0.600	0.290	1.103e-01
ZFP41	1.003	1.580e-01	1.751	0.581	0.291	1.107e-01
ZNF146	0.883	1.885e-01	2.949	0.573	0.292	1.119e-01
PML	1.674	4.708e-02	0.427	0.592	0.292	1.123e-01
ZSCAN29	0.951	1.709e-01	1.729	0.582	0.293	1.127e-01
ETS1	4.300	8.555e-06	-0.899	0.623	0.293	1.136e-01
BCOR	1.175	1.199e-01	1.232	0.583	0.294	1.144e-01
TDRD3	1.306	9.569e-02	0.038	0.608	0.294	1.144e-01
REL	1.448	7.381e-02	-0.000	0.606	0.295	1.157e-01
CDK8	1.896	2.900e-02	-0.448	0.614	0.296	1.170e-01
EZH1	1.245	1.066e-01	0.065	0.608	0.297	1.178e-01
ARID5B	1.083	1.395e-01	0.662	0.597	0.299	1.200e-01
SMARCA5	0.538	2.954e-01	2.841	0.581	0.299	1.204e-01
ZNF436	0.693	2.441e-01	2.452	0.579	0.300	1.213e-01
ZKSCAN1	0.911	1.811e-01	1.274	0.589	0.301	1.221e-01
DDX5	0.051	4.798e-01	2.694	0.600	0.301	1.230e-01
KDM4C	1.192	1.166e-01	0.241	0.603	0.301	1.230e-01
EP400	0.954	1.701e-01	1.085	0.591	0.301	1.230e-01
MIER1	0.853	1.969e-01	2.365	0.575	0.302	1.235e-01
ZNF837	1.023	1.533e-01	1.208	0.586	0.302	1.243e-01
CDK7	1.748	4.026e-02	-0.729	0.629	0.304	1.261e-01
ZNF83	1.081	1.399e-01	1.099	0.585	0.305	1.279e-01
BCL3	3.652	1.303e-04	-0.942	0.619	0.306	1.288e-01
PYGO2	0.723	2.349e-01	2.569	0.574	0.306	1.288e-01
ZNF584	0.940	1.737e-01	1.457	0.583	0.306	1.288e-01
BRD3	2.175	1.483e-02	-0.556	0.611	0.307	1.302e-01
RBCK1	1.433	7.587e-02	-0.313	0.614	0.307	1.302e-01
RPE	2.941	1.633e-03	-1.014	0.624	0.309	1.325e-01
FGFR1	1.569	5.832e-02	-0.282	0.607	0.309	1.325e-01
L3MBTL2	0.729	2.329e-01	2.549	0.574	0.311	1.348e-01
NFATC1	1.550	6.055e-02	-0.480	0.616	0.312	1.372e-01
BRD2	3.023	1.251e-03	-1.733	0.639	0.315	1.405e-01
ZNF287	0.571	2.842e-01	3.291	0.574	0.315	1.405e-01
ZBTB14	1.150	1.250e-01	0.162	0.601	0.316	1.415e-01
RUNX1T1	0.921	1.786e-01	0.755	0.595	0.316	1.415e-01
POLR2B	1.869	3.081e-02	-0.876	0.628	0.316	1.420e-01
ZNF263	1.294	9.792e-02	0.629	0.587	0.316	1.420e-01
ADNP	0.793	2.140e-01	2.099	0.575	0.316	1.425e-01
BRD4	5.009	2.729e-07	-1.902	0.633	0.317	1.429e-01
ZFP57	0.618	2.682e-01	3.386	0.571	0.317	1.429e-01
ELF1	2.871	2.046e-03	-0.841	0.613	0.317	1.434e-01
KDM5C	1.750	4.010e-02	-0.643	0.615	0.317	1.434e-01
SNAPC1	1.420	7.775e-02	-0.382	0.613	0.318	1.444e-01
NFIA	0.386	3.498e-01	3.380	0.578	0.320	1.479e-01
ZBTB17	0.563	2.866e-01	1.064	0.597	0.320	1.479e-01
ZNF611	0.641	2.608e-01	2.245	0.577	0.321	1.484e-01
ZNF644	0.878	1.900e-01	1.333	0.583	0.321	1.489e-01
SMAD5	2.049	2.024e-02	-0.850	0.618	0.322	1.509e-01
OGT	2.509	6.053e-03	-1.177	0.623	0.324	1.524e-01
PTRF	0.540	2.945e-01	2.624	0.574	0.324	1.534e-01
HSF1	1.419	7.794e-02	-0.189	0.602	0.326	1.560e-01
TFAP2C	0.513	3.038e-01	1.649	0.587	0.326	1.560e-01
ZNF175	0.849	1.981e-01	1.892	0.573	0.327	1.570e-01
ZNF282	1.180	1.190e-01	0.529	0.588	0.328	1.586e-01
GRHL3	0.579	2.814e-01	1.889	0.580	0.328	1.586e-01
ZFP64	0.444	3.284e-01	2.413	0.579	0.329	1.601e-01
SUMO2	-1.225	8.897e-01	2.542	0.630	0.330	1.612e-01
ZNF24	1.064	1.437e-01	1.141	0.577	0.330	1.612e-01
ZNF320	0.611	2.707e-01	3.879	0.568	0.330	1.612e-01
CREBBP	0.374	3.542e-01	0.706	0.611	0.331	1.628e-01
KDM5B	0.738	2.301e-01	0.079	0.613	0.331	1.633e-01
NOTCH1	1.285	9.938e-02	-0.385	0.611	0.331	1.633e-01
ING2	0.648	2.584e-01	1.878	0.577	0.331	1.633e-01
RBP2	1.696	4.490e-02	-1.384	0.636	0.332	1.644e-01
AFF4	3.748	8.930e-05	-2.186	0.630	0.332	1.649e-01
PTTG1	0.530	2.981e-01	2.586	0.573	0.333	1.660e-01
KLF6	1.083	1.393e-01	0.166	0.597	0.333	1.660e-01
NFYC	1.445	7.427e-02	-0.615	0.615	0.336	1.714e-01
KLF15	1.587	5.630e-02	-0.872	0.621	0.337	1.720e-01
STAT2	1.442	7.464e-02	-0.240	0.599	0.340	1.770e-01
ZNF707	0.538	2.952e-01	2.238	0.574	0.340	1.775e-01
MXI1	1.568	5.843e-02	-0.600	0.609	0.342	1.798e-01
ZNF48	0.605	2.725e-01	1.816	0.575	0.342	1.798e-01
SCML2	0.845	1.992e-01	0.899	0.585	0.342	1.803e-01
ERCC6	0.337	3.680e-01	0.640	0.610	0.342	1.803e-01
SETD1A	1.124	1.305e-01	-0.073	0.601	0.343	1.809e-01
MAZ	1.647	4.973e-02	-0.307	0.596	0.343	1.815e-01
PHIP	1.741	4.080e-02	-0.497	0.599	0.345	1.843e-01
ZNF197	0.909	1.817e-01	1.048	0.578	0.347	1.878e-01
ZNF284	0.432	3.328e-01	3.883	0.569	0.347	1.884e-01
TGIF2	1.000	1.588e-01	0.722	0.583	0.347	1.884e-01
CEBPA	0.156	4.381e-01	0.591	0.620	0.348	1.890e-01
ELF2	1.547	6.095e-02	-0.933	0.620	0.348	1.890e-01
ATOH1	1.302	9.644e-02	-0.502	0.608	0.348	1.890e-01
MXD3	1.233	1.089e-01	-0.363	0.604	0.348	1.890e-01
VEZF1	1.496	6.734e-02	-0.311	0.598	0.348	1.901e-01
SREBF2	1.159	1.232e-01	-0.220	0.601	0.349	1.913e-01
NFE2	0.767	2.216e-01	0.515	0.594	0.350	1.931e-01
ZNF28	0.489	3.123e-01	2.507	0.571	0.350	1.937e-01
XBP1	0.683	2.474e-01	0.726	0.591	0.352	1.955e-01
POLR3A	0.633	2.634e-01	1.284	0.581	0.352	1.967e-01
ZNF589	0.812	2.084e-01	1.051	0.579	0.353	1.978e-01
ZNF207	0.778	2.182e-01	1.509	0.573	0.354	1.990e-01
SMARCE1	0.195	4.227e-01	3.708	0.574	0.355	2.015e-01
GLIS2	1.181	1.188e-01	0.274	0.585	0.355	2.015e-01
MTA2	0.580	2.809e-01	1.156	0.582	0.356	2.027e-01
FOXJ2	0.902	1.836e-01	0.893	0.579	0.356	2.027e-01
HES1	0.497	3.097e-01	1.593	0.578	0.358	2.063e-01
NCAPG	0.368	3.563e-01	1.366	0.587	0.358	2.070e-01
BRCA1	1.732	4.168e-02	-1.535	0.623	0.359	2.076e-01
ZNF783	1.102	1.352e-01	-0.150	0.598	0.359	2.082e-01
BRDU	0.262	3.966e-01	1.958	0.581	0.360	2.100e-01
E2F4	2.676	3.721e-03	-2.253	0.620	0.361	2.119e-01
ASCL2	1.071	1.421e-01	-0.087	0.597	0.362	2.138e-01
MAFB	1.178	1.194e-01	-0.407	0.602	0.362	2.138e-01
ZMYND8	1.194	1.162e-01	0.227	0.583	0.363	2.144e-01
MEN1	0.921	1.784e-01	0.651	0.582	0.363	2.144e-01
PBX2	0.639	2.615e-01	1.534	0.573	0.363	2.156e-01
ZEB2	0.739	2.300e-01	1.407	0.573	0.364	2.169e-01
DDX20	0.575	2.826e-01	1.453	0.576	0.366	2.194e-01
SNAI2	0.133	4.469e-01	2.097	0.584	0.366	2.201e-01
NR4A1	0.513	3.040e-01	0.964	0.587	0.366	2.207e-01
TAFII	1.889	2.942e-02	-1.718	0.618	0.367	2.213e-01
H2AZ	1.986	2.353e-02	-2.255	0.625	0.368	2.232e-01
AEBP2	0.765	2.221e-01	1.277	0.573	0.369	2.252e-01
IRF3	1.386	8.289e-02	-0.960	0.616	0.370	2.265e-01
TAF1	3.325	4.415e-04	-1.886	0.608	0.370	2.277e-01
CUX1	0.219	4.132e-01	1.192	0.592	0.370	2.277e-01
DCP1A	2.010	2.221e-02	-2.322	0.623	0.370	2.277e-01
STAT5	0.699	2.423e-01	-0.062	0.604	0.371	2.290e-01
HOXA1	1.196	1.158e-01	-0.528	0.603	0.371	2.290e-01
REPIN1	0.188	4.253e-01	1.680	0.584	0.373	2.323e-01
TSC22D4	0.315	3.763e-01	2.218	0.573	0.373	2.323e-01
PRDM2	1.044	1.481e-01	0.354	0.582	0.373	2.336e-01
RAG2	1.017	1.546e-01	-0.049	0.594	0.375	2.356e-01
CTBP2	0.618	2.683e-01	-0.340	0.616	0.375	2.369e-01
HBP1	1.138	1.276e-01	-0.033	0.587	0.379	2.442e-01
PHF2	1.986	2.351e-02	-1.983	0.614	0.380	2.448e-01
ORC2	0.601	2.741e-01	1.124	0.575	0.380	2.448e-01
PKNOX1	0.407	3.420e-01	2.724	0.565	0.380	2.455e-01
CBX8	0.363	3.584e-01	-0.197	0.621	0.381	2.468e-01
ZEB1	0.996	1.597e-01	-0.125	0.595	0.381	2.475e-01
MEF2D	0.562	2.869e-01	1.811	0.568	0.382	2.488e-01
U2AF1	2.797	2.583e-03	-3.626	0.617	0.382	2.488e-01
TRAF7	1.121	1.311e-01	-0.599	0.605	0.383	2.509e-01
DPF2	0.181	4.284e-01	2.777	0.570	0.385	2.549e-01
KLF7	1.118	1.318e-01	-0.048	0.586	0.386	2.570e-01
TARDBP	0.871	1.920e-01	0.053	0.590	0.388	2.604e-01
PRAME	0.752	2.261e-01	0.551	0.581	0.389	2.618e-01
POLR2H	0.816	2.073e-01	0.689	0.576	0.390	2.639e-01
HDAC6	1.351	8.842e-02	-0.520	0.593	0.391	2.666e-01
BCLAF1	0.605	2.727e-01	0.085	0.596	0.391	2.673e-01
KDM4A	0.665	2.531e-01	0.855	0.575	0.392	2.680e-01
BACH1	0.577	2.818e-01	1.102	0.573	0.392	2.687e-01
ZNF423	0.906	1.825e-01	0.454	0.578	0.393	2.694e-01
ZBTB48	0.437	3.309e-01	0.874	0.582	0.394	2.722e-01
XRN2	3.103	9.584e-04	-2.937	0.607	0.394	2.729e-01
YBX1	0.389	3.485e-01	2.331	0.565	0.394	2.729e-01
NR2F6	0.303	3.810e-01	3.186	0.563	0.395	2.743e-01
CHAMP1	0.528	2.987e-01	1.446	0.570	0.395	2.743e-01
TEAD2	0.478	3.165e-01	1.800	0.567	0.395	2.743e-01
DMC1	0.211	4.163e-01	5.878	0.561	0.397	2.771e-01
C11orf30	0.346	3.645e-01	2.170	0.567	0.399	2.828e-01
ZBTB10	1.274	1.014e-01	-0.978	0.606	0.400	2.842e-01
DEAF1	1.414	7.870e-02	-1.529	0.613	0.401	2.856e-01
THAP1	1.139	1.274e-01	-0.659	0.600	0.401	2.863e-01
BCL6	0.559	2.881e-01	0.145	0.592	0.402	2.885e-01
TFAP4	0.236	4.069e-01	1.564	0.574	0.403	2.899e-01
TCF7L1	0.303	3.810e-01	0.913	0.583	0.403	2.906e-01
PRDM11	0.501	3.081e-01	-0.088	0.601	0.403	2.906e-01
SATB1	-1.078	8.596e-01	1.695	0.605	0.406	2.957e-01
BHLHE40	0.655	2.563e-01	0.110	0.588	0.407	2.978e-01
TRIM28	-1.372	9.150e-01	6.184	0.589	0.407	2.986e-01
KDM4B	1.355	8.764e-02	-0.877	0.598	0.409	3.015e-01
E2F5	0.632	2.637e-01	0.835	0.572	0.409	3.029e-01
RBL2	2.635	4.211e-03	-3.154	0.605	0.410	3.044e-01
CDCA2	0.304	3.805e-01	2.320	0.564	0.410	3.044e-01
NONO	0.438	3.306e-01	1.382	0.569	0.411	3.051e-01
PAX5	0.525	2.997e-01	0.274	0.588	0.411	3.066e-01
BARX2	1.388	8.260e-02	-1.838	0.612	0.412	3.088e-01
GLI4	1.027	1.523e-01	-0.110	0.582	0.413	3.110e-01
ZNF585B	0.309	3.787e-01	2.425	0.562	0.413	3.110e-01
POLR3D	-1.152	8.753e-01	1.757	0.602	0.414	3.117e-01
IRF9	0.345	3.649e-01	2.107	0.564	0.414	3.117e-01
DIDO1	0.897	1.850e-01	0.177	0.577	0.414	3.125e-01
POU2F1	0.373	3.545e-01	1.701	0.567	0.414	3.132e-01
ZNF141	0.263	3.962e-01	2.415	0.563	0.415	3.139e-01
THAP11	0.990	1.611e-01	-0.416	0.593	0.415	3.147e-01
ZNF770	0.224	4.115e-01	2.552	0.561	0.417	3.176e-01
ZNF441	0.578	2.817e-01	0.680	0.574	0.418	3.206e-01
CD74	0.744	2.285e-01	-0.236	0.592	0.418	3.214e-01
RBPJ	0.942	1.731e-01	-0.655	0.600	0.418	3.214e-01
ETV1	0.882	1.888e-01	0.069	0.579	0.419	3.228e-01
ZNF248	0.171	4.319e-01	3.641	0.559	0.421	3.258e-01
TBL1XR1	0.601	2.740e-01	0.126	0.585	0.421	3.266e-01
EGR3	0.418	3.381e-01	1.363	0.568	0.422	3.288e-01
CEBPD	0.193	4.234e-01	0.697	0.587	0.423	3.318e-01
ZNF100	0.738	2.303e-01	0.415	0.574	0.423	3.318e-01
IKZF1	0.578	2.817e-01	0.748	0.571	0.426	3.364e-01
SP3	1.193	1.163e-01	-0.593	0.588	0.426	3.371e-01
FOXP3	1.278	1.006e-01	-0.747	0.592	0.426	3.379e-01
KLF17	0.860	1.949e-01	0.045	0.578	0.427	3.394e-01
SRSF3	1.718	4.291e-02	-2.901	0.605	0.427	3.394e-01
H2AFX	-0.848	8.018e-01	1.316	0.602	0.428	3.409e-01
ZNF468	0.556	2.892e-01	0.643	0.573	0.429	3.439e-01
TERC	0.157	4.375e-01	2.643	0.560	0.430	3.447e-01
BCL11A	-0.194	5.769e-01	-0.066	0.624	0.430	3.462e-01
ZNF280A	0.102	4.594e-01	4.365	0.557	0.431	3.470e-01
HMGN1	1.169	1.213e-01	-1.317	0.602	0.431	3.477e-01
DNMT1	0.402	3.437e-01	0.524	0.581	0.432	3.500e-01
ZNF304	0.196	4.224e-01	2.385	0.560	0.433	3.516e-01
ZNF354C	0.317	3.756e-01	1.567	0.565	0.434	3.539e-01
LMO2	0.446	3.277e-01	0.848	0.571	0.434	3.539e-01
CLOCK	0.126	4.497e-01	2.043	0.567	0.434	3.539e-01
